question,label,n,mean_A,sd_A,mean_B,sd_B,mean_diff(B-A),t,p_t,W,p_wilcoxon,cohen_dz
Q1,Recommendation match,6,2.67,0.52,4.17,0.41,1.5,4.392,0.0071,0.0,0.0312,1.793
Q2,Diversity,6,2.67,1.21,3.17,0.98,0.5,0.745,0.4896,3.0,0.4615,0.304
Q3,Novelty,6,2.83,0.41,3.83,0.41,1.0,3.873,0.0117,0.0,0.0339,1.581
Q4,Transparency,6,2.5,0.55,3.5,0.55,1.0,3.873,0.0117,0.0,0.0339,1.581
Q5,Control,6,2.5,0.84,3.83,0.41,1.33,4.0,0.0103,0.0,0.0384,1.633
Q6,Ease-of-use,6,4.33,0.52,4.0,0.89,-0.33,-1.0,0.3632,2.5,0.3173,-0.408
Q7,Satisfaction,6,2.5,0.55,4.0,0.63,1.5,4.392,0.0071,0.0,0.0339,1.793
Q8,Trust,6,2.17,0.75,4.17,0.98,2.0,7.746,0.0006,0.0,0.0312,3.162
